127.0.0.1, 2023-03-11 15:47:28, GET, /runestone/default/user/login, HTTP/1.1, 200, 0.154653
127.0.0.1, 2023-03-11 15:47:28, GET, /static/images/logo_small.png, HTTP/1.1, 404, 0.000159
127.0.0.1, 2023-03-11 15:47:46, GET, /ns/books/index, HTTP/1.1, 404, 0.000412
127.0.0.1, 2023-03-11 15:47:49, GET, /runestone/default/user/login, HTTP/1.1, 200, 0.062167
127.0.0.1, 2023-03-11 15:49:35, POST, /runestone/default/user/login, HTTP/1.1, 303, 0.160907
127.0.0.1, 2023-03-11 15:49:35, GET, /runestone/default/index, HTTP/1.1, 303, 0.029932
127.0.0.1, 2023-03-11 15:49:35, GET, /runestone/default/courses, HTTP/1.1, 200, 0.021904
127.0.0.1, 2023-03-11 15:49:46, GET, /runestone/admin/index, HTTP/1.1, 303, 1.321873
127.0.0.1, 2023-03-11 15:49:46, GET, /runestone/admin/admin, HTTP/1.1, 500, 0.160936
127.0.0.1, 2023-03-11 15:49:49, GET, /admin/default/ticket/runestone/127.0.0.1.2023-03-11.15-49-46.0a2fb2a2-2d8f-466d-aa0b-14b68504ae5b, HTTP/1.1, 200, 0.117534
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/admin/admin, HTTP/1.1, 200, 0.889423
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/admin/admin, HTTP/1.1, 200, 0.051266
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/runestone-custom-sphinx-bootstrap.css, HTTP/1.1, 304, 0.000326
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/css/dd.css, HTTP/1.1, 304, 0.000250
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/js/jquery.js, HTTP/1.1, 304, 0.000813
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/js/web2py.js, HTTP/1.1, 304, 0.000661
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/js/jquery-fix.js, HTTP/1.1, 304, 0.000866
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/css/pygments.css, HTTP/1.1, 200, 0.001170
127.0.0.1, 2023-03-11 15:55:31, GET, /ns/books/published/overview/_static/637.0fa6cababf056764.css, HTTP/1.1, 404, 0.000195
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/css/basic.css, HTTP/1.1, 200, 0.001231
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/css/accessibility.css, HTTP/1.1, 200, 0.001162
127.0.0.1, 2023-03-11 15:55:31, GET, /ns/books/published/overview/_static/runestone.3eb60bc006ae9a54.css, HTTP/1.1, 404, 0.000137
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/jquery.datetimepicker.min.css, HTTP/1.1, 200, 0.000646
127.0.0.1, 2023-03-11 15:55:31, GET, /ns/books/published/overview/_static/runtime.0d64a5199ae36cbe.bundle.js, HTTP/1.1, 404, 0.000917
127.0.0.1, 2023-03-11 15:55:31, GET, /ns/books/published/overview/_static/runestone.ecc6dff5cad8b815.bundle.js, HTTP/1.1, 404, 0.000095
127.0.0.1, 2023-03-11 15:55:31, GET, /ns/books/published/overview/_static/637.d54be67956c5c660.bundle.js, HTTP/1.1, 404, 0.000239
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/js/documentation_options.js, HTTP/1.1, 200, 0.000912
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/js/underscore.js, HTTP/1.1, 200, 0.000222
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/js/doctools.js, HTTP/1.1, 200, 0.000225
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/js/animationbase.js, HTTP/1.1, 200, 0.000185
127.0.0.1, 2023-03-11 15:55:31, GET, /runestone/static/js/FileSaver.min.js, HTTP/1.1, 200, 0.000605
